,Title,Year,Rating,Director
0,Um Sonho de Liberdade,1994,9.2,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman"
1,O Poderoso Chefão,1972,9.1,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino"
2,O Poderoso Chefão II,1974,9.0,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro"
3,Batman: O Cavaleiro das Trevas,2008,9.0,"Christopher Nolan (dir.), Christian Bale, Heath Ledger"
4,12 Homens e uma Sentença,1957,8.9,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb"
5,A Lista de Schindler,1993,8.9,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes"
6,O Senhor dos Anéis: O Retorno do Rei,2003,8.9,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen"
7,Pulp Fiction: Tempo de Violência,1994,8.9,"Quentin Tarantino (dir.), John Travolta, Uma Thurman"
8,Três Homens em Conflito,1966,8.8,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach"
9,O Senhor dos Anéis: A Sociedade do Anel,2001,8.8,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
10,Clube da Luta,1999,8.8,"David Fincher (dir.), Brad Pitt, Edward Norton"
11,Forrest Gump: O Contador de Histórias,1994,8.8,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright"
12,A Origem,2010,8.7,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt"
13,"Star Wars, Episódio V: O Império Contra-Ataca",1980,8.7,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford"
14,O Senhor dos Anéis: As Duas Torres,2002,8.7,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
15,Matrix,1999,8.6,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne"
16,Os Bons Companheiros,1990,8.6,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta"
17,Um Estranho no Ninho,1975,8.6,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher"
18,Os Sete Samurais,1954,8.6,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura"
19,Seven: Os Sete Crimes Capitais,1995,8.6,"David Fincher (dir.), Morgan Freeman, Brad Pitt"
20,Cidade de Deus,2002,8.6,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino"
21,A Vida é Bela,1997,8.6,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi"
22,O Silêncio dos Inocentes,1991,8.6,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins"
23,A Felicidade Não se Compra,1946,8.6,"Frank Capra (dir.), James Stewart, Donna Reed"
24,Parasita,2019,8.6,"Bong Joon Ho (dir.), Kang-ho Song, Sun-kyun Lee"
25,Guerra nas Estrelas,1977,8.6,"George Lucas (dir.), Mark Hamill, Harrison Ford"
26,O Resgate do Soldado Ryan,1998,8.5,"Steven Spielberg (dir.), Tom Hanks, Matt Damon"
27,A Viagem de Chihiro,2001,8.5,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette"
28,À Espera de um Milagre,1999,8.5,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan"
29,Interestelar,2014,8.5,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway"
30,O Profissional,1994,8.5,"Luc Besson (dir.), Jean Reno, Gary Oldman"
31,Os Suspeitos,1995,8.5,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne"
32,Harakiri,1962,8.5,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama"
33,O Rei Leão,1994,8.5,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons"
34,A Outra História Americana,1998,8.5,"Tony Kaye (dir.), Edward Norton, Edward Furlong"
35,O Exterminador do Futuro 2: O Julgamento Final,1991,8.5,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
36,De Volta para o Futuro,1985,8.5,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd"
37,O Pianista,2002,8.5,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann"
38,Tempos Modernos,1936,8.5,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
39,Psicose,1960,8.5,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh"
40,Gladiador,2000,8.5,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix"
41,Luzes da Cidade,1931,8.5,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill"
42,Intocáveis,2011,8.5,"Olivier Nakache (dir.), François Cluzet, Omar Sy"
43,Os Infiltrados,2006,8.5,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon"
44,Whiplash: Em Busca da Perfeição,2014,8.5,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons"
45,Coringa,2019,8.5,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro"
46,O Grande Truque,2006,8.5,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman"
47,Era uma Vez no Oeste,1968,8.5,"Sergio Leone (dir.), Henry Fonda, Charles Bronson"
48,Túmulo dos Vagalumes,1988,8.4,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi"
49,Casablanca,1942,8.4,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman"
50,Janela Indiscreta,1954,8.4,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly"
51,Cinema Paradiso,1988,8.4,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale"
52,"Alien, o Oitavo Passageiro",1979,8.4,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt"
53,Apocalypse Now,1979,8.4,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando"
54,Indiana Jones e os Caçadores da Arca Perdida,1981,8.4,"Steven Spielberg (dir.), Harrison Ford, Karen Allen"
55,Amnésia,2000,8.4,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss"
56,O Grande Ditador,1940,8.4,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
57,A Vida dos Outros,2006,8.4,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck"
58,Django Livre,2012,8.4,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz"
59,Vingadores: Guerra Infinita,2018,8.4,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth"
60,Glória Feita de Sangue,1957,8.4,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker"
61,O Iluminado,1980,8.4,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall"
62,1917,2019,8.4,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay"
63,WALL·E,2008,8.4,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight"
64,Homem-Aranha no Aranhaverso,2018,8.4,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson"
65,Princesa Mononoke,1997,8.4,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida"
66,Crepúsculo dos Deuses,1950,8.4,"Billy Wilder (dir.), William Holden, Gloria Swanson"
67,Dr. Fantástico,1964,8.4,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott"
68,Vingadores: Ultimato,2019,8.4,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans"
69,Oldboy,2003,8.4,"Chan-wook Park (dir.), Min-sik Choi, Ji-Tae Yoo"
70,Testemunha de Acusação,1957,8.4,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich"
71,Batman: O Cavaleiro das Trevas Ressurge,2012,8.3,"Christopher Nolan (dir.), Christian Bale, Tom Hardy"
72,Era uma Vez na América,1984,8.3,"Sergio Leone (dir.), Robert De Niro, James Woods"
73,"Aliens, o Resgate",1986,8.3,"James Cameron (dir.), Sigourney Weaver, Michael Biehn"
74,Your Name.,2016,8.3,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi"
75,Beleza Americana,1999,8.3,"Sam Mendes (dir.), Kevin Spacey, Annette Bening"
76,Viva: A Vida é uma Festa,2017,8.3,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal"
77,Coração Valente,1995,8.3,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau"
78,O Barco: Inferno no Mar,1981,8.3,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer"
79,3 Idiotas,2009,8.3,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan"
80,Toy Story,1995,8.3,"John Lasseter (dir.), Tom Hanks, Tim Allen"
81,Céu E Inferno,1963,8.3,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada"
82,"Star Wars, Episódio VI: O Retorno do Jedi",1983,8.3,"Richard Marquand (dir.), Mark Hamill, Harrison Ford"
83,Como Estrelas na Terra,2007,8.3,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan"
84,Amadeus,1984,8.3,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce"
85,Cães de Aluguel,1992,8.3,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth"
86,Bastardos Inglórios,2009,8.3,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger"
87,Gênio Indomável,1997,8.3,"Gus Van Sant (dir.), Robin Williams, Matt Damon"
88,2001: Uma Odisséia no Espaço,1968,8.3,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood"
89,Réquiem para um Sonho,2000,8.3,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto"
90,"M, o Vampiro de Dusseldorf",1931,8.3,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann"
91,Um Corpo que Cai,1958,8.3,"Alfred Hitchcock (dir.), James Stewart, Kim Novak"
92,Dangal,2016,8.3,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar"
93,Brilho Eterno de uma Mente sem Lembranças,2004,8.3,"Michel Gondry (dir.), Jim Carrey, Kate Winslet"
94,Cidadão Kane,1941,8.3,"Orson Welles (dir.), Orson Welles, Joseph Cotten"
95,A Caça,2012,8.3,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen"
96,Nascido para Matar,1987,8.3,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey"
97,Intriga Internacional,1959,8.3,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint"
98,Laranja Mecânica,1971,8.3,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee"
99,Snatch: Porcos e Diamantes,2000,8.2,"Guy Ritchie (dir.), Jason Statham, Brad Pitt"
100,O Garoto,1921,8.2,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance"
101,Ladrões de Bicicletas,1948,8.2,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola"
102,Cantando na Chuva,1952,8.2,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor"
103,Scarface,1983,8.2,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer"
104,Taxi Driver: Motorista de Táxi,1976,8.2,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster"
105,O Fabuloso Destino de Amélie Poulain,2001,8.2,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz"
106,Lawrence da Arábia,1962,8.2,"David Lean (dir.), Peter O'Toole, Alec Guinness"
107,Toy Story 3,2010,8.2,"Lee Unkrich (dir.), Tom Hanks, Tim Allen"
108,Golpe de Mestre,1973,8.2,"George Roy Hill (dir.), Paul Newman, Robert Redford"
109,Cafarnaum,2018,8.2,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw"
110,Metrópolis,1927,8.2,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel"
111,Por uns Dólares a Mais,1965,8.2,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef"
112,Viver,1952,8.2,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko"
113,A Separação,2011,8.2,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami"
114,Pacto de Sangue,1944,8.2,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck"
115,O Sol é para Todos,1962,8.2,"Robert Mulligan (dir.), Gregory Peck, John Megna"
116,Se Meu Apartamento Falasse,1960,8.2,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine"
117,Indiana Jones e a Última Cruzada,1989,8.2,"Steven Spielberg (dir.), Harrison Ford, Sean Connery"
118,Incêndios,2010,8.2,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin"
119,Up: Altas Aventuras,2009,8.2,"Pete Docter (dir.), Edward Asner, Jordan Nagai"
120,Los Angeles: Cidade Proibida,1997,8.2,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe"
121,Monty Python em Busca do Cálice Sagrado,1975,8.2,"Terry Gilliam (dir.), Graham Chapman, John Cleese"
122,Fogo Contra Fogo,1995,8.2,"Michael Mann (dir.), Al Pacino, Robert De Niro"
123,Duro de Matar,1988,8.2,"John McTiernan (dir.), Bruce Willis, Alan Rickman"
124,Rashomon,1950,8.2,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô"
125,"Yojimbo, o Guarda-Costas",1961,8.2,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno"
126,Batman Begins,2005,8.2,"Christopher Nolan (dir.), Christian Bale, Michael Caine"
127,Os Imperdoáveis,1992,8.2,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman"
128,A Queda! As Últimas Horas de Hitler,2004,8.2,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara"
129,Green Book: O Guia,2018,8.2,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali"
130,Filhos do Paraíso,1997,8.2,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian"
131,Quanto Mais Quente Melhor,1959,8.2,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis"
132,Vá e Veja,1985,8.2,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova"
133,O Castelo Animado,2004,8.2,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura"
134,Ran,1985,8.2,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao"
135,Fugindo do Inferno,1963,8.2,"John Sturges (dir.), Steve McQueen, James Garner"
136,A Malvada,1950,8.2,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter"
137,Uma Mente Brilhante,2001,8.2,"Ron Howard (dir.), Russell Crowe, Ed Harris"
138,Cassino,1995,8.2,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone"
139,Meu Amigo Totoro,1988,8.2,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka"
140,O Labirinto do Fauno,2006,8.2,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil"
141,Touro Indomável,1980,8.2,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty"
142,O Segredo dos Seus Olhos,2009,8.2,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil"
143,"Jogos, Trapaças e Dois Canos Fumegantes",1998,8.2,"Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher"
144,O Lobo de Wall Street,2013,8.1,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill"
145,O Tesouro da Sierra Madre,1948,8.1,"John Huston (dir.), Humphrey Bogart, Walter Huston"
146,Julgamento em Nuremberg,1961,8.1,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster"
147,Três Anúncios para um Crime,2017,8.1,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson"
148,Sangue Negro,2007,8.1,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano"
149,Chinatown,1974,8.1,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway"
150,Em Busca do Ouro,1925,8.1,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain"
151,Meu Pai e Meu Filho,2005,8.1,"Çagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan"
152,Disque M para Matar,1954,8.1,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly"
153,V de Vingança,2005,8.1,"James McTeigue (dir.), Hugo Weaving, Natalie Portman"
154,O Sétimo Selo,1957,8.1,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand"
155,Divertida Mente,2015,8.1,"Pete Docter (dir.), Amy Poehler, Bill Hader"
156,Onde os Fracos Não Têm Vez,2007,8.1,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem"
157,Guerreiro,2011,8.1,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte"
158,Trainspotting: Sem Limites,1996,8.1,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner"
159,O Homem Elefante,1980,8.1,"David Lynch (dir.), Anthony Hopkins, John Hurt"
160,Ilha do Medo,2010,8.1,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer"
161,O Sexto Sentido,1999,8.1,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment"
162,O Quarto de Jack,2015,8.1,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay"
163,O Enigma de Outro Mundo,1982,8.1,"John Carpenter (dir.), Kurt Russell, Wilford Brimley"
164,...E o Vento Levou,1939,8.1,"Victor Fleming (dir.), Clark Gable, Vivien Leigh"
165,Jurassic Park: O Parque dos Dinossauros,1993,8.1,"Steven Spielberg (dir.), Sam Neill, Laura Dern"
166,Blade Runner: O Caçador de Androides,1982,8.1,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer"
167,A Ponte do Rio Kwai,1957,8.1,"David Lean (dir.), William Holden, Alec Guinness"
168,O 3º Homem,1949,8.1,"Carol Reed (dir.), Orson Welles, Joseph Cotten"
169,Procurando Nemo,2003,8.1,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres"
170,Morangos Silvestres,1957,8.1,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson"
171,Sindicato de Ladrões,1954,8.1,"Elia Kazan (dir.), Marlon Brando, Karl Malden"
172,Fargo: Uma Comédia de Erros,1996,8.1,"Joel Coen (dir.), William H. Macy, Frances McDormand"
173,Kill Bill: Volume 1,2003,8.1,"Quentin Tarantino (dir.), Uma Thurman, David Carradine"
174,Gran Torino,2008,8.1,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang"
175,Stalker,1979,8.1,"Andrei Tarkovsky (dir.), Alisa Freyndlikh, Aleksandr Kaydanovskiy"
176,O Show de Truman: O Show da Vida,1998,8.1,"Peter Weir (dir.), Jim Carrey, Ed Harris"
177,O Franco Atirador,1978,8.1,"Michael Cimino (dir.), Robert De Niro, Christopher Walken"
178,Era uma Vez em Tóquio,1953,8.1,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama"
179,Relatos Selvagens,2014,8.1,"Damián Szifron (dir.), Darío Grandinetti, María Marull"
180,Memórias de um Assassino,2003,8.1,"Bong Joon Ho (dir.), Kang-ho Song, Sang-kyung Kim"
181,O Bandido,1996,8.1,"Yavuz Turgul (dir.), Sener Sen, Ugur Yücel"
182,O Grande Lebowski,1998,8.1,"Joel Coen (dir.), Jeff Bridges, John Goodman"
183,Assassinato às Cegas,2018,8.1,"Sriram Raghavan (dir.), Ayushmann Khurrana, Tabu"
184,Mary e Max: Uma Amizade Diferente,2009,8.1,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman"
185,Ford vs Ferrari,2019,8.1,"James Mangold (dir.), Matt Damon, Christian Bale"
186,Klaus,2019,8.1,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons"
187,Em Nome do Pai,1993,8.1,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite"
188,Garota Exemplar,2014,8.1,"David Fincher (dir.), Ben Affleck, Rosamund Pike"
189,Até o Último Homem,2016,8.1,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington"
190,O Grande Hotel Budapeste,2014,8.1,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham"
191,A Mulher Faz o Homem,1939,8.1,"Frank Capra (dir.), James Stewart, Jean Arthur"
192,A General,1926,8.1,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack"
193,Como Treinar o Seu Dragão,2010,8.1,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler"
194,Bancando o Águia,1924,8.1,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire"
195,Antes do Amanhecer,1995,8.1,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
196,Quando Duas Mulheres Pecam,1966,8.1,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann"
197,Prenda-me se for Capaz,2002,8.1,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks"
198,Os Suspeitos,2013,8.1,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal"
199,12 Anos de Escravidão,2013,8.1,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams"
200,Rebeldia Indomável,1967,8.1,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy"
201,O Salário do Medo,1953,8.1,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel"
202,Na Natureza Selvagem,2007,8.1,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn"
203,Mad Max: Estrada da Fúria,2015,8.1,"George Miller (dir.), Tom Hardy, Charlize Theron"
204,Rede de Intrigas,1976,8.1,"Sidney Lumet (dir.), Faye Dunaway, William Holden"
205,Conta Comigo,1986,8.1,"Rob Reiner (dir.), Wil Wheaton, River Phoenix"
206,A Vida de Brian,1979,8.1,"Terry Jones (dir.), Graham Chapman, John Cleese"
207,Barry Lyndon,1975,8.1,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson"
208,Platoon,1986,8.1,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger"
209,Menina de Ouro,2004,8.1,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood"
210,Sempre ao Seu Lado,2009,8.1,"Lasse Hallström (dir.), Richard Gere, Joan Allen"
211,O Martírio de Joana D'Arc,1928,8.1,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain"
212,Rush: No Limite da Emoção,2013,8.1,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth"
213,Logan,2017,8.1,"James Mangold (dir.), Hugh Jackman, Patrick Stewart"
214,Ben-Hur,1959,8.1,"William Wyler (dir.), Charlton Heston, Jack Hawkins"
215,Andrei Rublev,1966,8.0,"Andrei Tarkovsky (dir.), Anatoliy Solonitsyn, Ivan Lapikov"
216,Harry Potter e as Relíquias da Morte - Parte 2,2011,8.0,"David Yates (dir.), Daniel Radcliffe, Emma Watson"
217,Pinte de Açafrão,2006,8.0,"Rakeysh Omprakash Mehra (dir.), Aamir Khan, Soha Ali Khan"
218,Sociedade dos Poetas Mortos,1989,8.0,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard"
219,Nausicaä do Vale do Vento,1984,8.0,"Hayao Miyazaki (dir.), Sumi Shimamoto, Mahito Tsujimura"
220,Os Incompreendidos,1959,8.0,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy"
221,Amores Brutos,2000,8.0,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal"
222,Hotel Ruanda,2004,8.0,"Terry George (dir.), Don Cheadle, Sophie Okonedo"
223,Spotlight: Segredos Revelados,2015,8.0,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton"
224,A Criada,2016,8.0,"Chan-wook Park (dir.), Min-hee Kim, Jung-woo Ha"
225,"Rebecca, a Mulher Inesquecível",1940,8.0,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine"
226,Rocky: Um Lutador,1976,8.0,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire"
227,Monstros S.A.,2001,8.0,"Pete Docter (dir.), Billy Crystal, John Goodman"
228,O Ódio,1995,8.0,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé"
229,Aconteceu Naquela Noite,1934,8.0,"Frank Capra (dir.), Clark Gable, Claudette Colbert"
230,A Montanha dos 7 Abutres,1951,8.0,"Billy Wilder (dir.), Kirk Douglas, Jan Sterling"
231,Os Sapatinhos Vermelhos,1948,8.0,"Michael Powell (dir.), Anton Walbrook, Marius Goring"
232,A Princesa Prometida,1987,8.0,"Rob Reiner (dir.), Cary Elwes, Mandy Patinkin"
233,Amor à Flor da Pele,2000,8.0,"Kar-Wai Wong (dir.), Tony Chiu-Wai Leung, Maggie Cheung"
234,Antes do Pôr-do-Sol,2004,8.0,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
235,Histórias Cruzadas,2011,8.0,"Tate Taylor (dir.), Emma Stone, Viola Davis"
236,Fúria Sanguinária,1949,8.0,"Raoul Walsh (dir.), James Cagney, Virginia Mayo"
237,Gangues de Wasseypur,2012,8.0,"Anurag Kashyap (dir.), Manoj Bajpayee, Richa Chadha"
238,Lagaan: Era uma Vez na Índia,2001,8.0,"Ashutosh Gowariker (dir.), Aamir Khan, Raghuvir Yadav"
239,O Exterminador do Futuro,1984,8.0,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
240,Butch Cassidy,1969,8.0,"George Roy Hill (dir.), Paul Newman, Robert Redford"
241,"Paris, Texas",1984,8.0,"Wim Wenders (dir.), Harry Dean Stanton, Nastassja Kinski"
242,Akira,1988,8.0,"Katsuhiro Ôtomo (dir.), Mitsuo Iwata, Nozomu Sasaki"
243,Aladdin,1992,8.0,"Ron Clements (dir.), Scott Weinger, Robin Williams"
244,Um Contratempo,2016,8.0,"Oriol Paulo (dir.), Mario Casas, Ana Wagener"
245,PK,2014,8.0,"Rajkumar Hirani (dir.), Aamir Khan, Anushka Sharma"
246,Guardiões da Galáxia,2014,8.0,"James Gunn (dir.), Chris Pratt, Vin Diesel"
247,Feitiço do Tempo,1993,8.0,"Harold Ramis (dir.), Bill Murray, Andie MacDowell"
248,"Swades: We, the People",2004,8.0,"Ashutosh Gowariker (dir.), Shah Rukh Khan, Gayatri Joshi"
249,O Espelho,1975,8.0,"Andrei Tarkovsky (dir.), Margarita Terekhova, Filipp Yankovskiy"
